REF_AREA,Origin,Destination,TIME_PERIOD,Percentage_of_students
PER,Peru,Anguilla,2022,0
AUS,Australia,Libya,2022,0
PER,Peru,Monaco,2022,0
PER,Peru,Togo,2022,0
AUS,Australia,Myanmar,2022,0.364914779
AUS,Australia,Comoros,2022,0
AUS,Australia,Tokelau,2022,0
AUS,Australia,Other countries unspecified,2022,3.105964027
AUS,Australia,Chile,2022,0.304706458
AUS,Australia,Tuvalu,2022,0.003664854
ROU,Romania,Eritrea,2022,0
AUS,Australia,United Arab Emirates,2022,0.233503575
AUS,Australia,Ireland,2022,0.103401247
AUS,Australia,Denmark,2022,0.030889486
AUS,Australia,Mauritius,2022,0.245545239
AUS,Australia,Burkina Faso,2022,0
AUS,Australia,Oceania,2022,0.902339486
AUS,Australia,India,2022,18.12401343
AUS,Australia,Iran,2022,0.54396909
AUS,Australia,Northern America,2022,1.274322198
AUS,Australia,Kazakhstan,2022,0.030627711
AUS,Australia,Europe,2022,2.980311879
AUS,Australia,China,2022,23.00978778
AUS,Australia,El Salvador,2022,0.007067933
AUS,Australia,Somalia,2022,0
AUS,Australia,Honduras,2022,0.002094202
AUS,Australia,Lesotho,2022,0
AUS,Australia,Malta,2022,0
AUS,Australia,Latin America and the Caribbean unspecified,2022,0.045025353
AUS,Australia,Zambia,2022,0.051569736
AUS,Australia,Marshall Islands,2022,0
AUS,Australia,Austria,2022,0.057590568
AUS,Australia,Kenya,2022,0.916213577
AUS,Australia,Tajikistan,2022,0
AUS,Australia,Lao People’s Democratic Republic,2022,0.085600526
AUS,Australia,Liechtenstein,2022,0
AUS,Australia,Luxembourg,2022,0
AUS,Australia,Cyprus,2022,0.005235506
AUS,Australia,Croatia,2022,0.00445018
AUS,Australia,Central African Republic,2022,0
AUS,Australia,Germany,2022,0.309941964
AUS,Australia,Djibouti,2022,0
AUS,Australia,Iceland,2022,0.001570652
AUS,Australia,Netherlands,2022,0.077223716
AUS,Australia,Norway,2022,0.099736392
AUS,Australia,Cayman Islands,2022,0
AUS,Australia,Korea,2022,1.755988765
AUS,Australia,Belarus,2022,0.001832427
AUS,Australia,Brunei Darussalam,2022,0.073820637
AUS,Australia,Belize,2022,0
AUS,Australia,Barbados,2022,0
AUS,Australia,Madagascar,2022,0.001308877
AUS,Australia,Benin,2022,0
AUS,Australia,Turkmenistan,2022,0
AUS,Australia,British Virgin Islands,2022,0
AUS,Australia,Slovak Republic,2022,0.047643106
AUS,Australia,Nigeria,2022,0.607318714
AUS,Australia,Brazil,2022,1.871955226
AUS,Australia,Slovenia,2022,0.007853259
AUS,Australia,Switzerland,2022,0.043192926
AUS,Australia,Turkey,2022,0.214655752
AUS,Australia,Anguilla,2022,0
AUS,Australia,Ecuador,2022,0.056805242
AUS,Australia,Andorra,2022,0.001570652
AUS,Australia,Bulgaria,2022,0.007591484
AUS,Australia,Bahamas,2022,0
AUS,Australia,Azerbaijan,2022,0.00445018
AUS,Australia,Japan,2022,0.701557825
AUS,Australia,Iraq,2022,0.031413037
AUS,Australia,Bolivia,2022,0.011256338
AUS,Australia,Antigua and Barbuda,2022,0
AUS,Australia,Malaysia,2022,2.835288359
AUS,Australia,Saudi Arabia,2022,0.684018879
AUS,Australia,Bangladesh,2022,1.564107464
AUS,Australia,Palau,2022,0
AUS,Australia,Kyrgyzstan,2022,0.002355978
AUS,Australia,Viet Nam,2022,3.987099713
AUS,Australia,Botswana,2022,0.04293115
AUS,Australia,Malawi,2022,0.01675362
AUS,Australia,Uzbekistan,2022,0.016491844
AUS,Australia,Estonia,2022,0.028533509
AUS,Australia,Equatorial Guinea,2022,0
AUS,Australia,Cuba,2022,0
AUS,Australia,Samoa,2022,0.023036227
AUS,Australia,Moldova,2022,0
AUS,Australia,Tanzania,2022,0.024345104
AUS,Australia,Sao Tome and Principe,2022,0
AUS,Australia,Monaco,2022,0
AUS,Australia,Dominican Republic,2022,0
