indicatorId,geoUnit,year,value,qualifier,magnitude
26637,ABW,2003,91,,
26637,ABW,2005,40,,
26637,ABW,2006,169,,
26637,ABW,2009,107,,
26637,ABW,2010,63,,
26637,ABW,2011,89,,
26637,ABW,2012,36,,
26637,ABW,2013,269,,
26637,ABW,2014,272,,
26637,ABW,2015,322,,
26637,ABW,2016,329,,
26637,AFG,2009,0,,NIL
26637,AFG,2014,0,,NIL
26637,AFG,2020,0,,NIL
26637,AIA,2000,0,,NA
26637,AIA,2001,0,,NA
26637,AIA,2002,0,,NA
26637,AIA,2003,4,,
26637,AIA,2004,0,,NA
26637,AIA,2006,0,,NIL
26637,AIA,2007,0,,NIL
26637,AIA,2008,0,,NIL
26637,AIMS: Asia and the Pacific,2000,329030.28,UIS_EST,
26637,AIMS: Asia and the Pacific,2001,347121.5,UIS_EST,
26637,AIMS: Asia and the Pacific,2002,444449.75,UIS_EST,
26637,AIMS: Asia and the Pacific,2003,479542.47,UIS_EST,
26637,AIMS: Asia and the Pacific,2004,477823.19,UIS_EST,
26637,AIMS: Asia and the Pacific,2005,510351.16,UIS_EST,
26637,AIMS: Asia and the Pacific,2006,540728.63,,
26637,AIMS: Asia and the Pacific,2007,601349.19,,
26637,AIMS: Asia and the Pacific,2008,657290.5,,
26637,AIMS: Asia and the Pacific,2009,750692.63,UIS_EST,
26637,AIMS: Asia and the Pacific,2010,800770.94,,
26637,AIMS: Asia and the Pacific,2011,825870.75,,
26637,AIMS: Asia and the Pacific,2012,808339.13,,
26637,AIMS: Asia and the Pacific,2013,858943.94,,
26637,AIMS: Asia and the Pacific,2014,929917.31,,
26637,AIMS: Asia and the Pacific,2015,1008644.7,,
26637,AIMS: Asia and the Pacific,2016,1113681.9,,
26637,AIMS: Asia and the Pacific,2017,1192101,,
26637,AIMS: Asia and the Pacific,2018,1303809.3,,
26637,AIMS: Asia and the Pacific,2019,1441125.3,,
26637,AIMS: Asia and the Pacific,2020,1493908.9,,
26637,AIMS: Asia and the Pacific,2021,1432965.4,,
26637,AIMS: Asia and the Pacific,2022,1456147.1,,
26637,AIMS: Central Asia,2000,21210,UIS_EST,
26637,AIMS: Central Asia,2001,16761,,
26637,AIMS: Central Asia,2002,22318.5,UIS_EST,
26637,AIMS: Central Asia,2003,22406,,
26637,AIMS: Central Asia,2004,27382,,
26637,AIMS: Central Asia,2005,33954,,
26637,AIMS: Central Asia,2006,39532,,
26637,AIMS: Central Asia,2007,42330,,
26637,AIMS: Central Asia,2008,39931,,
26637,AIMS: Central Asia,2009,34376,,
26637,AIMS: Central Asia,2010,32299,,
26637,AIMS: Central Asia,2011,27483,,
26637,AIMS: Central Asia,2012,22817,,
26637,AIMS: Central Asia,2013,22299,,
26637,AIMS: Central Asia,2014,24978,,
26637,AIMS: Central Asia,2015,25432.6,,
26637,AIMS: Central Asia,2016,29764.199,,
26637,AIMS: Central Asia,2017,31979.801,,
26637,AIMS: Central Asia,2018,33961.398,,
26637,AIMS: Central Asia,2019,46640,,
26637,AIMS: Central Asia,2020,82775,UIS_EST,
26637,AIMS: Central Asia,2021,108742,UIS_EST,
26637,AIMS: Central Asia,2022,129253,UIS_EST,
26637,AIMS: East Asia,2000,179202.28,UIS_EST,
